---------------- S3DR ------------------------
S3DR_RotateCamera: no debugger routine
S3DR_MoveCamera: no debugger routine
S3DR_GetCameraX: no debugger routine
S3DR_GetCameraY: no debugger routine
S3DR_GetCameraZ: no debugger routine
S3DR_GetCameraAngleX: no debugger routine
S3DR_GetCameraAngleY: no debugger routine
S3DR_GetCameraAngleZ: no debugger routine
S3DR_UseFog: no debugger routine
S3DR_TestCollision: no debugger routine
S3DR_SetDiffuseColors: no debugger routine
S3DR_SetCameraRangeAndFOV: no debugger routine
S3DR_LoadMesh: no debugger routine
S3DR_FreeMesh: no debugger routine
S3DR_DrawMesh: no debugger routine
S3DR_CreateMesh_SetTriangleTextureCoords: no debugger routine
S3DR_CreateMesh_SetQuadTextureCoords: no debugger routine
S3DR_CreateMesh_AddTriangle: no debugger routine
S3DR_CreateMesh_AddQuad: no debugger routine
S3DR_StopCreateMesh: no debugger routine
S3DR_StartCreateMesh: no debugger routine
S3DR_RotateTexture: no debugger routine
S3DR_ScrollTexture: no debugger routine
S3DR_SelectRenderSprite: no debugger routine
S3DR_CreateRenderSprite: no debugger routine
---------------- S3DR ------------------------
S3DR_SetCameraPos: no debugger routine
S3DR_SetCameraAngles: no debugger routine
S3DR_SetFillMode: no debugger routine
S3DR_UseTransparency: no debugger routine
S3DR_UseDither: no debugger routine
S3DR_SetCullMode: no debugger routine
S3DR_SetViewPort: no debugger routine
S3DR_GetD3DDevice: no debugger routine
S3DR_GetZBuffer: no debugger routine
S3DR_CreateZBuffer: no debugger routine
S3DR_BeginReal3D: no debugger routine
S3DR_EndReal3D: no debugger routine
S3DR_SelectTexture: no debugger routine
S3DR_SetTextureCoordinates: no debugger routine
S3DR_Draw3D: no debugger routine
S3DR_DrawBillboard: no debugger routine
S3DR_ClearScreenAndZBuffer: no debugger routine
S3DR_FreeZBuffer: no debugger routine
S3DR_RotateCamera: no debugger routine
S3DR_MoveCamera: no debugger routine
S3DR_GetCameraX: no debugger routine
S3DR_GetCameraY: no debugger routine
S3DR_GetCameraZ: no debugger routine
S3DR_GetCameraAngleX: no debugger routine
S3DR_GetCameraAngleY: no debugger routine
S3DR_GetCameraAngleZ: no debugger routine
S3DR_UseFog: no debugger routine
S3DR_TestCollision: no debugger routine
S3DR_SetDiffuseColors: no debugger routine
S3DR_SetCameraRangeAndFOV: no debugger routine
S3DR_LoadMesh: no debugger routine
S3DR_FreeMesh: no debugger routine
S3DR_DrawMesh: no debugger routine
S3DR_CreateMesh_SetTriangleTextureCoords: no debugger routine
S3DR_CreateMesh_SetQuadTextureCoords: no debugger routine
S3DR_CreateMesh_AddTriangle: no debugger routine
S3DR_CreateMesh_AddQuad: no debugger routine
S3DR_StopCreateMesh: no debugger routine
S3DR_StartCreateMesh: no debugger routine
S3DR_RotateTexture: no debugger routine
S3DR_ScrollTexture: no debugger routine
S3DR_SelectRenderSprite: no debugger routine
S3DR_CreateRenderSprite: no debugger routine
---------------- S3DR ------------------------
S3DR_SetCameraPos: no debugger routine
S3DR_SetCameraAngles: no debugger routine
S3DR_SetFillMode: no debugger routine
S3DR_UseTransparency: no debugger routine
S3DR_UseDither: no debugger routine
S3DR_SetCullMode: no debugger routine
S3DR_SetViewPort: no debugger routine
S3DR_GetD3DDevice: no debugger routine
S3DR_GetZBuffer: no debugger routine
S3DR_CreateZBuffer: no debugger routine
S3DR_BeginReal3D: no debugger routine
S3DR_EndReal3D: no debugger routine
S3DR_SelectTexture: no debugger routine
S3DR_SetTextureCoordinates: no debugger routine
S3DR_Draw3D: no debugger routine
S3DR_DrawBillboard: no debugger routine
S3DR_ClearScreenAndZBuffer: no debugger routine
S3DR_FreeZBuffer: no debugger routine
S3DR_RotateCamera: no debugger routine
S3DR_MoveCamera: no debugger routine
S3DR_GetCameraX: no debugger routine
S3DR_GetCameraY: no debugger routine
S3DR_GetCameraZ: no debugger routine
S3DR_GetCameraAngleX: no debugger routine
S3DR_GetCameraAngleY: no debugger routine
S3DR_GetCameraAngleZ: no debugger routine
S3DR_UseFog: no debugger routine
S3DR_TestCollision: no debugger routine
S3DR_SetDiffuseColors: no debugger routine
S3DR_SetCameraRangeAndFOV: no debugger routine
S3DR_LoadMesh: no debugger routine
S3DR_FreeMesh: no debugger routine
S3DR_DrawMesh: no debugger routine
S3DR_CreateMesh_SetTriangleTextureCoords: no debugger routine
S3DR_CreateMesh_SetQuadTextureCoords: no debugger routine
S3DR_CreateMesh_AddTriangle: no debugger routine
S3DR_CreateMesh_AddQuad: no debugger routine
S3DR_StopCreateMesh: no debugger routine
S3DR_StartCreateMesh: no debugger routine
S3DR_RotateTexture: no debugger routine
S3DR_ScrollTexture: no debugger routine
S3DR_SelectRenderSprite: no debugger routine
S3DR_CreateRenderSprite: no debugger routine
---------------- S3DR ------------------------
S3DR_SetCameraPos: no debugger routine
S3DR_SetCameraAngles: no debugger routine
S3DR_SetFillMode: no debugger routine
S3DR_UseTransparency: no debugger routine
S3DR_UseDither: no debugger routine
S3DR_SetCullMode: no debugger routine
S3DR_SetViewPort: no debugger routine
S3DR_GetD3DDevice: no debugger routine
S3DR_GetZBuffer: no debugger routine
S3DR_CreateZBuffer: no debugger routine
S3DR_BeginReal3D: no debugger routine
S3DR_EndReal3D: no debugger routine
S3DR_SelectTexture: no debugger routine
S3DR_SetTextureCoordinates: no debugger routine
S3DR_Draw3D: no debugger routine
S3DR_DrawBillboard: no debugger routine
S3DR_ClearScreenAndZBuffer: no debugger routine
S3DR_FreeZBuffer: no debugger routine
S3DR_RotateCamera: no debugger routine
S3DR_MoveCamera: no debugger routine
S3DR_GetCameraX: no debugger routine
S3DR_GetCameraY: no debugger routine
S3DR_GetCameraZ: no debugger routine
S3DR_GetCameraAngleX: no debugger routine
S3DR_GetCameraAngleY: no debugger routine
S3DR_GetCameraAngleZ: no debugger routine
S3DR_UseFog: no debugger routine
S3DR_TestCollision: no debugger routine
S3DR_SetDiffuseColors: no debugger routine
S3DR_SetCameraRangeAndFOV: no debugger routine
S3DR_LoadMesh: no debugger routine
S3DR_FreeMesh: no debugger routine
S3DR_DrawMesh: no debugger routine
S3DR_CreateMesh_SetTriangleTextureCoords: no debugger routine
S3DR_CreateMesh_SetQuadTextureCoords: no debugger routine
S3DR_CreateMesh_AddTriangle: no debugger routine
S3DR_CreateMesh_AddQuad: no debugger routine
S3DR_StopCreateMesh: no debugger routine
S3DR_StartCreateMesh: no debugger routine
S3DR_RotateTexture: no debugger routine
S3DR_ScrollTexture: no debugger routine
S3DR_SelectRenderSprite: no debugger routine
S3DR_CreateRenderSprite: no debugger routine
---------------- S3DR ------------------------
S3DR_SetCameraPos: no debugger routine
S3DR_SetCameraAngles: no debugger routine
S3DR_SetFillMode: no debugger routine
S3DR_UseTransparency: no debugger routine
S3DR_UseDither: no debugger routine
S3DR_SetCullMode: no debugger routine
S3DR_SetViewPort: no debugger routine
S3DR_GetD3DDevice: no debugger routine
S3DR_GetZBuffer: no debugger routine
S3DR_CreateZBuffer: no debugger routine
S3DR_BeginReal3D: no debugger routine
S3DR_EndReal3D: no debugger routine
S3DR_SelectTexture: no debugger routine
S3DR_SetTextureCoordinates: no debugger routine
S3DR_Draw3D: no debugger routine
S3DR_DrawBillboard: no debugger routine
S3DR_ClearScreenAndZBuffer: no debugger routine
S3DR_FreeZBuffer: no debugger routine
S3DR_RotateCamera: no debugger routine
S3DR_MoveCamera: no debugger routine
S3DR_GetCameraX: no debugger routine
S3DR_GetCameraY: no debugger routine
S3DR_GetCameraZ: no debugger routine
S3DR_GetCameraAngleX: no debugger routine
S3DR_GetCameraAngleY: no debugger routine
S3DR_GetCameraAngleZ: no debugger routine
S3DR_UseFog: no debugger routine
S3DR_TestCollision: no debugger routine
S3DR_SetDiffuseColors: no debugger routine
S3DR_SetCameraRangeAndFOV: no debugger routine
S3DR_LoadMesh: no debugger routine
S3DR_FreeMesh: no debugger routine
S3DR_DrawMesh: no debugger routine
S3DR_CreateMesh_SetTriangleTextureCoords: no debugger routine
S3DR_CreateMesh_SetQuadTextureCoords: no debugger routine
S3DR_CreateMesh_AddTriangle: no debugger routine
S3DR_CreateMesh_AddQuad: no debugger routine
S3DR_StopCreateMesh: no debugger routine
S3DR_StartCreateMesh: no debugger routine
S3DR_RotateTexture: no debugger routine
S3DR_ScrollTexture: no debugger routine
S3DR_CompressSprite: no debugger routine
---------------- S3DR ------------------------
S3DR_SetCameraPos: no debugger routine
S3DR_SetCameraAngles: no debugger routine
S3DR_SetFillMode: no debugger routine
S3DR_UseTransparency: no debugger routine
S3DR_UseDither: no debugger routine
S3DR_SetCullMode: no debugger routine
S3DR_SetViewPort: no debugger routine
S3DR_GetD3DDevice: no debugger routine
S3DR_GetZBuffer: no debugger routine
S3DR_CreateZBuffer: no debugger routine
S3DR_BeginReal3D: no debugger routine
S3DR_EndReal3D: no debugger routine
S3DR_SelectTexture: no debugger routine
S3DR_SetTextureCoordinates: no debugger routine
S3DR_Draw3D: no debugger routine
S3DR_DrawBillboard: no debugger routine
S3DR_ClearScreenAndZBuffer: no debugger routine
S3DR_FreeZBuffer: no debugger routine
S3DR_RotateCamera: no debugger routine
S3DR_MoveCamera: no debugger routine
S3DR_GetCameraX: no debugger routine
S3DR_GetCameraY: no debugger routine
S3DR_GetCameraZ: no debugger routine
S3DR_GetCameraAngleX: no debugger routine
S3DR_GetCameraAngleY: no debugger routine
S3DR_GetCameraAngleZ: no debugger routine
S3DR_UseFog: no debugger routine
S3DR_TestCollision: no debugger routine
S3DR_SetDiffuseColors: no debugger routine
S3DR_SetCameraRangeAndFOV: no debugger routine
S3DR_LoadMesh: no debugger routine
S3DR_FreeMesh: no debugger routine
S3DR_DrawMesh: no debugger routine
S3DR_CreateMesh_SetTriangleTextureCoords: no debugger routine
S3DR_CreateMesh_SetQuadTextureCoords: no debugger routine
S3DR_CreateMesh_AddTriangle: no debugger routine
S3DR_CreateMesh_AddQuad: no debugger routine
S3DR_StopCreateMesh: no debugger routine
S3DR_StartCreateMesh: no debugger routine
S3DR_RotateTexture: no debugger routine
S3DR_ScrollTexture: no debugger routine
S3DR_CompressSprite: no debugger routine
---------------- S3DR ------------------------
S3DR_SetCameraPos: no debugger routine
S3DR_SetCameraAngles: no debugger routine
S3DR_SetFillMode: no debugger routine
S3DR_UseTransparency: no debugger routine
S3DR_UseDither: no debugger routine
S3DR_SetCullMode: no debugger routine
S3DR_SetViewPort: no debugger routine
S3DR_GetD3DDevice: no debugger routine
S3DR_GetZBuffer: no debugger routine
S3DR_CreateZBuffer: no debugger routine
S3DR_BeginReal3D: no debugger routine
S3DR_EndReal3D: no debugger routine
S3DR_SelectTexture: no debugger routine
S3DR_SetTextureCoordinates: no debugger routine
S3DR_Draw3D: no debugger routine
S3DR_DrawBillboard: no debugger routine
S3DR_ClearScreenAndZBuffer: no debugger routine
S3DR_FreeZBuffer: no debugger routine
S3DR_RotateCamera: no debugger routine
S3DR_MoveCamera: no debugger routine
S3DR_GetCameraX: no debugger routine
S3DR_GetCameraY: no debugger routine
S3DR_GetCameraZ: no debugger routine
S3DR_GetCameraAngleX: no debugger routine
S3DR_GetCameraAngleY: no debugger routine
S3DR_GetCameraAngleZ: no debugger routine
S3DR_UseFog: no debugger routine
S3DR_TestCollision: no debugger routine
S3DR_SetDiffuseColors: no debugger routine
S3DR_SetCameraRangeAndFOV: no debugger routine
S3DR_LoadMesh: no debugger routine
S3DR_FreeMesh: no debugger routine
S3DR_DrawMesh: no debugger routine
S3DR_CreateMesh_SetTriangleTextureCoords: no debugger routine
S3DR_CreateMesh_SetQuadTextureCoords: no debugger routine
S3DR_CreateMesh_AddTriangle: no debugger routine
S3DR_CreateMesh_AddQuad: no debugger routine
S3DR_StopCreateMesh: no debugger routine
S3DR_StartCreateMesh: no debugger routine
S3DR_RotateTexture: no debugger routine
S3DR_ScrollTexture: no debugger routine
S3DR_CompressSprite: no debugger routine
---------------- S3DR ------------------------
S3DR_SetCameraPos: no debugger routine
S3DR_SetCameraAngles: no debugger routine
S3DR_SetFillMode: no debugger routine
S3DR_UseTransparency: no debugger routine
S3DR_UseDither: no debugger routine
S3DR_SetCullMode: no debugger routine
S3DR_SetViewPort: no debugger routine
S3DR_GetD3DDevice: no debugger routine
S3DR_GetZBuffer: no debugger routine
S3DR_CreateZBuffer: no debugger routine
S3DR_BeginReal3D: no debugger routine
S3DR_EndReal3D: no debugger routine
S3DR_SelectTexture: no debugger routine
S3DR_SetTextureCoordinates: no debugger routine
S3DR_Draw3D: no debugger routine
S3DR_DrawBillboard: no debugger routine
S3DR_ClearScreenAndZBuffer: no debugger routine
S3DR_FreeZBuffer: no debugger routine
S3DR_RotateCamera: no debugger routine
S3DR_MoveCamera: no debugger routine
S3DR_GetCameraX: no debugger routine
S3DR_GetCameraY: no debugger routine
S3DR_GetCameraZ: no debugger routine
S3DR_GetCameraAngleX: no debugger routine
S3DR_GetCameraAngleY: no debugger routine
S3DR_GetCameraAngleZ: no debugger routine
S3DR_UseFog: no debugger routine
S3DR_TestCollision: no debugger routine
S3DR_SetDiffuseColors: no debugger routine
S3DR_SetCameraRangeAndFOV: no debugger routine
S3DR_LoadMesh: no debugger routine
S3DR_FreeMesh: no debugger routine
S3DR_DrawMesh: no debugger routine
S3DR_CreateMesh_SetTriangleTextureCoords: no debugger routine
S3DR_CreateMesh_SetQuadTextureCoords: no debugger routine
S3DR_CreateMesh_AddTriangle: no debugger routine
S3DR_CreateMesh_AddQuad: no debugger routine
S3DR_StopCreateMesh: no debugger routine
S3DR_StartCreateMesh: no debugger routine
S3DR_RotateTexture: no debugger routine
S3DR_ScrollTexture: no debugger routine
S3DR_CompressSprite: no debugger routine
---------------- S3DR ------------------------
S3DR_SetCameraPos: no debugger routine
S3DR_SetCameraAngles: no debugger routine
S3DR_SetFillMode: no debugger routine
S3DR_UseTransparency: no debugger routine
S3DR_UseDither: no debugger routine
S3DR_SetCullMode: no debugger routine
S3DR_SetViewPort: no debugger routine
S3DR_GetD3DDevice: no debugger routine
S3DR_GetZBuffer: no debugger routine
S3DR_CreateZBuffer: no debugger routine
S3DR_BeginReal3D: no debugger routine
S3DR_EndReal3D: no debugger routine
S3DR_SelectTexture: no debugger routine
S3DR_SetTextureCoordinates: no debugger routine
S3DR_Draw3D: no debugger routine
S3DR_DrawBillboard: no debugger routine
S3DR_ClearScreenAndZBuffer: no debugger routine
S3DR_FreeZBuffer: no debugger routine
S3DR_RotateCamera: no debugger routine
S3DR_MoveCamera: no debugger routine
S3DR_GetCameraX: no debugger routine
S3DR_GetCameraY: no debugger routine
S3DR_GetCameraZ: no debugger routine
S3DR_GetCameraAngleX: no debugger routine
S3DR_GetCameraAngleY: no debugger routine
S3DR_GetCameraAngleZ: no debugger routine
S3DR_UseFog: no debugger routine
S3DR_TestCollision: no debugger routine
S3DR_SetDiffuseColors: no debugger routine
S3DR_SetCameraRangeAndFOV: no debugger routine
S3DR_LoadMesh: no debugger routine
S3DR_FreeMesh: no debugger routine
S3DR_DrawMesh: no debugger routine
S3DR_CreateMesh_SetTriangleTextureCoords: no debugger routine
S3DR_CreateMesh_SetQuadTextureCoords: no debugger routine
S3DR_CreateMesh_AddTriangle: no debugger routine
S3DR_CreateMesh_AddQuad: no debugger routine
S3DR_StopCreateMesh: no debugger routine
S3DR_StartCreateMesh: no debugger routine
S3DR_RotateTexture: no debugger routine
S3DR_ScrollTexture: no debugger routine
S3DR_CompressSprite: no debugger routine
---------------- S3DR ------------------------
S3DR_SetCameraPos: no debugger routine
S3DR_SetCameraAngles: no debugger routine
S3DR_SetFillMode: no debugger routine
S3DR_UseTransparency: no debugger routine
S3DR_UseDither: no debugger routine
S3DR_SetCullMode: no debugger routine
S3DR_SetViewPort: no debugger routine
S3DR_GetD3DDevice: no debugger routine
S3DR_GetZBuffer: no debugger routine
S3DR_CreateZBuffer: no debugger routine
S3DR_BeginReal3D: no debugger routine
S3DR_EndReal3D: no debugger routine
S3DR_SelectTexture: no debugger routine
S3DR_SetTextureCoordinates: no debugger routine
S3DR_Draw3D: no debugger routine
S3DR_DrawBillboard: no debugger routine
S3DR_ClearScreenAndZBuffer: no debugger routine
S3DR_FreeZBuffer: no debugger routine
S3DR_RotateCamera: no debugger routine
S3DR_MoveCamera: no debugger routine
S3DR_GetCameraX: no debugger routine
S3DR_GetCameraY: no debugger routine
S3DR_GetCameraZ: no debugger routine
S3DR_GetCameraAngleX: no debugger routine
S3DR_GetCameraAngleY: no debugger routine
S3DR_GetCameraAngleZ: no debugger routine
S3DR_UseFog: no debugger routine
S3DR_TestCollision: no debugger routine
S3DR_SetDiffuseColors: no debugger routine
S3DR_SetCameraRangeAndFOV: no debugger routine
S3DR_LoadMesh: no debugger routine
S3DR_FreeMesh: no debugger routine
S3DR_DrawMesh: no debugger routine
S3DR_CreateMesh_SetTriangleTextureCoords: no debugger routine
S3DR_CreateMesh_SetQuadTextureCoords: no debugger routine
S3DR_CreateMesh_AddTriangle: no debugger routine
S3DR_CreateMesh_AddQuad: no debugger routine
S3DR_StopCreateMesh: no debugger routine
S3DR_StartCreateMesh: no debugger routine
S3DR_RotateTexture: no debugger routine
S3DR_ScrollTexture: no debugger routine
S3DR_CompressSprite: no debugger routine
---------------- S3DR ------------------------
S3DR_SetCameraPos: no debugger routine
S3DR_SetCameraAngles: no debugger routine
S3DR_SetFillMode: no debugger routine
S3DR_UseTransparency: no debugger routine
S3DR_UseDither: no debugger routine
S3DR_SetCullMode: no debugger routine
S3DR_SetViewPort: no debugger routine
S3DR_GetD3DDevice: no debugger routine
S3DR_GetZBuffer: no debugger routine
S3DR_CreateZBuffer: no debugger routine
S3DR_BeginReal3D: no debugger routine
S3DR_EndReal3D: no debugger routine
S3DR_SelectTexture: no debugger routine
S3DR_SetTextureCoordinates: no debugger routine
S3DR_Draw3D: no debugger routine
S3DR_DrawBillboard: no debugger routine
S3DR_ClearScreenAndZBuffer: no debugger routine
S3DR_FreeZBuffer: no debugger routine
S3DR_RotateCamera: no debugger routine
S3DR_MoveCamera: no debugger routine
S3DR_GetCameraX: no debugger routine
S3DR_GetCameraY: no debugger routine
S3DR_GetCameraZ: no debugger routine
S3DR_GetCameraAngleX: no debugger routine
S3DR_GetCameraAngleY: no debugger routine
S3DR_GetCameraAngleZ: no debugger routine
S3DR_UseFog: no debugger routine
S3DR_TestCollision: no debugger routine
S3DR_SetDiffuseColors: no debugger routine
S3DR_SetCameraRangeAndFOV: no debugger routine
S3DR_LoadMesh: no debugger routine
S3DR_FreeMesh: no debugger routine
S3DR_DrawMesh: no debugger routine
S3DR_CreateMesh_SetTriangleTextureCoords: no debugger routine
S3DR_CreateMesh_SetQuadTextureCoords: no debugger routine
S3DR_CreateMesh_AddTriangle: no debugger routine
S3DR_CreateMesh_AddQuad: no debugger routine
S3DR_StopCreateMesh: no debugger routine
S3DR_StartCreateMesh: no debugger routine
S3DR_RotateTexture: no debugger routine
S3DR_ScrollTexture: no debugger routine
S3DR_CompressSprite: no debugger routine
